cardNum	cardId	title	color	level	ap	lp	rarity	features	imagePath	effect	cutIn	hirameki	henso	illustrator	flavor	qAndA
D11003	0936	萩原千速	黄	8	8000	1	D	警察|神奈川県警	1775608962430700.jpg	【疾風】自分は証拠を1つ得る。（自分の現場にこのターンで1番に登場したときに発動する）\n【事件婚活パーティー】【宣言】【スリープ】：AP6000以下のキャラを1枚まで選び、リムーブする。この能力は自分の現場に〚特徴［警察］〛のキャラが2枚以上いる場合に宣言できる。		【ヒラメキ】（証拠からリムーブされるときに発動する）キャラを1枚まで選び、アクティブにする。		いの		●【疾風】能力\n\nQ：能力や効果によって登場したキャラの【疾風】能力は発動しますか？\nA：はい。条件を満たせば発動します。\n\nQ：【疾風】能力は相手のターンでも発動しますか？\nA：はい。条件を満たせば発動します。\n\n●【宣言】能力\n\nQ：【事件婚活パーティー】のアイコンはなんですか？\nA：自分の事件が特徴［婚活パーティー］を持つ場合にこの能力が有効になります。\n\nQ：このキャラ自身も「自分の現場にいる特徴［警察］」のキャラに数えますか？\nA：はい、数えます。
D11004	0936	萩原千速	黄	8	8000	1	D	警察|神奈川県警	1775608962438303.jpg	【疾風】自分は証拠を1つ得る。（自分の現場にこのターンで1番に登場したときに発動する）\n【事件婚活パーティー】【宣言】【スリープ】：AP6000以下のキャラを1枚まで選び、リムーブする。この能力は自分の現場に〚特徴［警察］〛のキャラが2枚以上いる場合に宣言できる。		【ヒラメキ】（証拠からリムーブされるときに発動する）キャラを1枚まで選び、アクティブにする。		いの		●【疾風】能力\n\nQ：能力や効果によって登場したキャラの【疾風】能力は発動しますか？\nA：はい。条件を満たせば発動します。\n\nQ：【疾風】能力は相手のターンでも発動しますか？\nA：はい。条件を満たせば発動します。\n\n●【宣言】能力\n\nQ：【事件婚活パーティー】のアイコンはなんですか？\nA：自分の事件が特徴［婚活パーティー］を持つ場合にこの能力が有効になります。\n\nQ：このキャラ自身も「自分の現場にいる特徴［警察］」のキャラに数えますか？\nA：はい、数えます。
D11005	0937	横溝重悟	黄	8	8000	1	D	警察|神奈川県警	1775608962447530.jpg	【事件婚活パーティー】【登場時】このキャラのAP以下のAPのキャラを1枚まで選び、リムーブする。\n【宣言】【スリープ】：相手のターン終了時までこのキャラは「相手の現場にいるキャラがアクションするとき、このキャラを指定できる場合、必ず指定する。」を持つ。				いの		●【登場時】能力\n\nQ：この能力の効果を解決する時点で、このキャラのAPが他のキャラの能力などによって増減している場合はどうなりますか？\nA：効果を解決する時点でのAP以下のAPのキャラを選ぶことができます。\n\nQ：【事件婚活パーティー】のアイコンはなんですか？\nA：自分の事件が特徴［婚活パーティー］を持つ場合にこの能力が有効になります。\n\n●【宣言】能力\n\nQ：「相手の現場にいるキャラがアクションするとき、このキャラを指定できる場合、必ず指定する。」を持つキャラがいる場合、相手のアクションはどうなりますか？\nA：相手の現場にいるキャラがアクションするとき、アクションのルールに従ったうえで「必ず指定する」を持つキャラを指定できる場合は、必ずそのキャラを指定してアクションしなければなりません。\n・「必ず指定する」を持つキャラを指定できる場合、アクション［事件］はできません。ただし、アクションするキャラがキャラを指定できない（突撃［事件］を持つ名乗り状態のキャラなど）場合はアクション［事件］できます。\n・「必ず指定する」を持つキャラがアクティブ状態の場合、アクションで指定できないので、それ以外の対象を指定してアクションできます。ただし、「アクティブ状態のキャラを指定してアクションできる」など、そのルールを無視できるキャラがアクションする場合は必ず指定しなければなりません。\n・「必ず指定する」を持つ（指定できる状態の）キャラが2枚以上いる場合、アクションのルールによりキャラは1枚しか指定できないので、その中から1枚を（アクションするプレイヤーが選択して）指定します。
D11006	0937	横溝重悟	黄	8	8000	1	D	警察|神奈川県警	1775608962455731.jpg	【事件婚活パーティー】【登場時】このキャラのAP以下のAPのキャラを1枚まで選び、リムーブする。\n【宣言】【スリープ】：相手のターン終了時までこのキャラは「相手の現場にいるキャラがアクションするとき、このキャラを指定できる場合、必ず指定する。」を持つ。				いの		●【登場時】能力\n\nQ：この能力の効果を解決する時点で、このキャラのAPが他のキャラの能力などによって増減している場合はどうなりますか？\nA：効果を解決する時点でのAP以下のAPのキャラを選ぶことができます。\n\nQ：【事件婚活パーティー】のアイコンはなんですか？\nA：自分の事件が特徴［婚活パーティー］を持つ場合にこの能力が有効になります。\n\n●【宣言】能力\n\nQ：「相手の現場にいるキャラがアクションするとき、このキャラを指定できる場合、必ず指定する。」を持つキャラがいる場合、相手のアクションはどうなりますか？\nA：相手の現場にいるキャラがアクションするとき、アクションのルールに従ったうえで「必ず指定する」を持つキャラを指定できる場合は、必ずそのキャラを指定してアクションしなければなりません。\n・「必ず指定する」を持つキャラを指定できる場合、アクション［事件］はできません。ただし、アクションするキャラがキャラを指定できない（突撃［事件］を持つ名乗り状態のキャラなど）場合はアクション［事件］できます。\n・「必ず指定する」を持つキャラがアクティブ状態の場合、アクションで指定できないので、それ以外の対象を指定してアクションできます。ただし、「アクティブ状態のキャラを指定してアクションできる」など、そのルールを無視できるキャラがアクションする場合は必ず指定しなければなりません。\n・「必ず指定する」を持つ（指定できる状態の）キャラが2枚以上いる場合、アクションのルールによりキャラは1枚しか指定できないので、その中から1枚を（アクションするプレイヤーが選択して）指定します。
D11007	0938	松田陣平	黄	6	5000	1	D	警察|警視庁	1775608962464705.jpg	このキャラは相手の現場にいるレベル7以上のアクティブ状態のキャラを指定してアクションできる。\n【パートナー黄】〚突撃〛（名乗り状態でもアクションできる）\n【自分ターン中】【ターン1】このキャラが、このキャラよりAPの高いキャラとコンタクトしたとき、手札を1枚リムーブしてもよい。そうした場合、そのコンタクト中、このキャラをAP＋3000する。				いの		●【自分ターン中】能力\n\nQ：この能力は、どのタイミングで発動しますか？\nA：通常であればこのキャラがアクションを行い、指定したキャラもしくはガードしたキャラとのコンタクトが発生した時点で発動します（【カットイン】や【変装】を行えるタイミングよりも前です）。\n\nQ：AP＋3000されるのは、コンタクトの手順の「行動順の確認」よりも前ですか？\nA：はい。ですので、このキャラのAPがコンタクトしたキャラのAPより高くなった場合、相手が1番目に行動することになります。\n\nQ：この能力は、能力や効果によって発生したコンタクトでも発動しますか？\nA：はい。条件を満たせば発動します。
D11008	0938	松田陣平	黄	6	5000	1	D	警察|警視庁	1775608962472097.jpg	このキャラは相手の現場にいるレベル7以上のアクティブ状態のキャラを指定してアクションできる。\n【パートナー黄】〚突撃〛（名乗り状態でもアクションできる）\n【自分ターン中】【ターン1】このキャラが、このキャラよりAPの高いキャラとコンタクトしたとき、手札を1枚リムーブしてもよい。そうした場合、そのコンタクト中、このキャラをAP＋3000する。				いの		●【自分ターン中】能力\n\nQ：この能力は、どのタイミングで発動しますか？\nA：通常であればこのキャラがアクションを行い、指定したキャラもしくはガードしたキャラとのコンタクトが発生した時点で発動します（【カットイン】や【変装】を行えるタイミングよりも前です）。\n\nQ：AP＋3000されるのは、コンタクトの手順の「行動順の確認」よりも前ですか？\nA：はい。ですので、このキャラのAPがコンタクトしたキャラのAPより高くなった場合、相手が1番目に行動することになります。\n\nQ：この能力は、能力や効果によって発生したコンタクトでも発動しますか？\nA：はい。条件を満たせば発動します。
D11009	0939	萩原研二	黄	7	6000	1	D	警察|警視庁	1775608962481705.jpg	【パートナー黄】〚突撃［キャラ］〛（名乗り状態でもアクション［キャラ］できる）\n【疾風】キャラを1枚まで選び、スリープさせる。（自分の現場にこのターンで1番に登場したときに発動する）		【ヒラメキ】（証拠からリムーブされるときに発動する）キャラを1枚まで選び、スリープさせる。		いの		●【疾風】能力\n\nQ：能力や効果によって登場したキャラの【疾風】能力は発動しますか？\nA：はい。条件を満たせば発動します。\n\nQ：【疾風】能力は相手のターンでも発動しますか？\nA：はい。条件を満たせば発動します。
D11010	0939	萩原研二	黄	7	6000	1	D	警察|警視庁	1775608962489717.jpg	【パートナー黄】〚突撃［キャラ］〛（名乗り状態でもアクション［キャラ］できる）\n【疾風】キャラを1枚まで選び、スリープさせる。（自分の現場にこのターンで1番に登場したときに発動する）		【ヒラメキ】（証拠からリムーブされるときに発動する）キャラを1枚まで選び、スリープさせる。		いの		●【疾風】能力\n\nQ：能力や効果によって登場したキャラの【疾風】能力は発動しますか？\nA：はい。条件を満たせば発動します。\n\nQ：【疾風】能力は相手のターンでも発動しますか？\nA：はい。条件を満たせば発動します。
D11011	0461	萩原千速	黄	5	5000	0	D	警察|神奈川県警	1775608962497007.jpg	【パートナー黄】【解決編】〚迅速〛（名乗り状態でも推理かアクションできる）				春木		
D11012	0466	横溝重悟	黄	4	4000	0	D	警察|神奈川県警	1775608977330557.jpg	【宣言】〚デッキの下に移す〛：LP0の〚特徴［警察］〛のキャラを1枚まで選び、ターン終了時までLP＋1するか、ターン終了時までAP＋2000する。		【ヒラメキ】（証拠からリムーブされるときに発動する）自分のリムーブエリアにある〚カード名［萩原千速］〛を1枚まで選び、手札に加える。		春木		
