cardNum	cardId	title	color	rarity	imagePath	difficultyFirst	difficultySecond	effect	illustrator	qAndA
B01024	0020	大阪“3つのK”事件	青	C	1714012985544152.jpg	7	6			
B01024P	0020	大阪“3つのK”事件	青	CP	1714012985547706.jpg	7	6			
B01041	0035	コナンと平次 恋の暗号	緑	C	1714013020290747.jpg	7	6			
B01041P	0035	コナンと平次 恋の暗号	緑	CP	1714013020292137.jpg	7	6			
B01059	0051	怪盗キッドの瞬間移動魔術	白	C	1714013041185453.jpg	7	6			
B01059P	0051	怪盗キッドの瞬間移動魔術	白	CP	1714013041188487.jpg	7	6			
B01078	0068	17年前と同じ現場	赤	C	1714013053546952.jpg	7	6			
B01078P	0068	17年前と同じ現場	赤	CP	1714013067497424.jpg	7	6			
B01096	0084	ギスギスしたお茶会	黄	C	1714013082058918.jpg	7	6			
B01096P	0084	ギスギスしたお茶会	黄	CP	1714013082060237.jpg	7	6			
B01099	0087	どっちの推理ショー	青緑	C	1714013082074437.jpg	7	6	この事件が解決編になったとき、相手はカードを1枚引く。		
B01099P	0087	どっちの推理ショー	青緑	CP	1714013082077429.jpg	7	6	この事件が解決編になったとき、相手はカードを1枚引く。		
B01100	0088	怪盗キッドの絡繰箱	青白	C	1714013082080240.jpg	7	6	この事件が解決編になったとき、相手はカードを1枚引く。		
B01100P	0088	怪盗キッドの絡繰箱	青白	CP	1714013082082743.jpg	7	6	この事件が解決編になったとき、相手はカードを1枚引く。		
B01101	0089	赤と黒のクラッシュ	青赤	C	1714013082085308.jpg	7	6	この事件が解決編になったとき、相手はカードを1枚引く。		
B01101P	0089	赤と黒のクラッシュ	青赤	CP	1714013082088104.jpg	7	6	この事件が解決編になったとき、相手はカードを1枚引く。		
B01102	0090	牧場に墜ちた火種	青黄	C	1714013082090327.jpg	7	6	この事件が解決編になったとき、相手はカードを1枚引く。		
B01102P	0090	牧場に墜ちた火種	青黄	CP	1714013082093108.jpg	7	6	この事件が解決編になったとき、相手はカードを1枚引く。		
