cardNum	cardId	title	color	level	ap	lp	rarity	features	imagePath	effect	cutIn	hirameki	henso	illustrator	flavor	qAndA
B05005	0511	江戸川コナン＆工藤新一	青	9	8000	2	MR	探偵,毛利探偵事務所,少年探偵団,高校生	1742972384107114.jpg	【パートナー青】【ターン1】自分がネクストヒントで【青】のカードを使用したとき、AP8000以下のキャラを1枚まで選び、デッキの下に移す。\n【宣言】【ターン1】相手の現場にいるキャラを1枚まで選び、ターン終了時まで「このキャラはガードできる場合、必ずガードする。」を与える。この能力はパートナーエリアでも宣言できる。	【カットイン】AP＋2000			松田硯		●【パートナー青】【ターン1】能力\n\nQ：このキャラが自分の現場にいるときにネクストヒントを行いましたが、手札は使用しませんでした。そのあとネクストヒントで【青】のカードを使用した場合、能力は発動しますか？\nA：はい。「ネクストヒントで【青】のカードを使用したとき」に発動するので、この場合は発動します。\n\nQ：この能力で0枚を選びました（何もデッキの下に移しませんでした）。この場合、次にネクストヒントで【青】のカードを使用したときにキャラを選ぶことはできますか？\nA：いいえ。0枚を選んだ場合でも能力そのものが一度発動しているので、このターン中は条件を満たしても発動しません。\n\nQ：ネクストヒントで使用したキャラが【登場時】能力を持つ場合、このキャラの能力とどちらから先に解決されますか？\nA：（ターンを行なっている）プレイヤーが好きな順番で解決できます。\n\nQ：ネクストヒントで【青】のイベントを使用した場合、このキャラの能力とどちらから先に解決されますか？\nA：イベントの効果を先に解決します。\n\nQ. このカードをネクストヒントで使用した場合、このキャラの能力は発動しますか？\nA. いいえ。使用した時点ではまだ現場にいない状態なので、能力は発動しません。（このターン、次にネクストヒントで手札を使用したら発動します。）\n\n●【宣言】能力\n\nQ：「このキャラはガードできる場合、必ずガードする。」を与えられたキャラはどうなりますか？\nA：（与えられたキャラから見て）相手の現場にいるキャラがアクションした場合、このキャラがガードできる場合は必ずガードしなければなりません。これはガードのルールに従うので、（このキャラがスリープ状態など）ガードできない場合はガードしません。その場合は他のガードできるキャラでガードしたり、ガードを行わないことが選択できます。\n\nQ：「このキャラはガードできる場合、必ずガードする。」を持つキャラ（アクションをガードできる状態）が2枚以上いる場合はどうなりますか？\nA：ガードのルール（アクションをガードできるキャラは1枚のみ）に従うので、持ち主のプレイヤーがその中から1枚を選択してガードします。\n\nQ：「このキャラはガードできる場合、必ずガードする。」を、スリープ状態でもガードできるキャラ（《宮野明美/0332/B03078》など）に与えた場合、（与えられたキャラから見て）相手の現場にいるキャラがアクションした場合はどうなりますか？\nA：ガードできるので、（他の要因によってガードできない場合を除き）必ずガードします。\n\n●MR能力\n\nオフィシャルルールマニュアル（［Ver.2.0］では26ページ）をご確認ください。\n\n●キャラの名前が複数あるカード名のルール\n\nオフィシャルルールマニュアル（［Ver.2.0］では27ページ）をご確認ください。
B05027	0531	服部平次＆遠山和葉	緑	9	8000	2	MR	探偵|高校生	1743754511109231.jpg	【パートナー緑】【宣言】【ターン1】レベル8以下の【緑】のキャラを1枚まで選び、アクティブにするか、ターン終了時まで〚突撃〛（登場したターンからすぐにアクションできる）を与える。\n【ターン1】自分の現場に〚カード名［服部平次］〛か〚［遠山和葉］〛が登場したとき、キャラを1枚まで選び、スリープさせる。この能力はパートナーエリアでも発動する。	【カットイン】AP＋2000			いの		●【宣言】能力\n\nQ：スタン状態のキャラをアクティブにした場合はどうなりますか？\nA：アクティブにする代わりにスリープ状態になります。\n\n●【ターン1】能力\n\nQ：このキャラ自身が登場したときは発動しますか？\nA：はい、発動します。\n\nQ：このキャラがパートナーエリアにいるとき、自分の現場に《服部平次＆遠山和葉/0531/B05027》登場しました。このキャラはMR能力によってリムーブされますが、このキャラと登場した《服部平次＆遠山和葉/0531/B05027》の【ターン1】能力はどちらも発動しますか？\nA：登場した《服部平次＆遠山和葉/0531/B05027》の【ターン1】能力のみ発動します。MR能力によるリムーブは登場と同時に行われるので、《服部平次＆遠山和葉/0531/B05027》が登場した時点でこのキャラは現場におらず、能力は発動しません。\n\n●MR能力\n\nオフィシャルルールマニュアル（［Ver.2.0］では26ページ）をご確認ください。\n\n●キャラの名前が複数あるカード名のルール\n\nオフィシャルルールマニュアル（［Ver.2.0］では27ページ）をご確認ください。
B05045	0547	怪盗キッド＆黒羽快斗	白	9	8000	2	MR	怪盗|高校生|マジシャン	1742972384120295.jpg	【パートナー白】【宣言】【ターン1】〚デッキのカードを上から5枚リムーブする〛：AP8000以下のキャラを1枚まで選び、デッキの下に移す。\n【宣言】【ターン1】自分のFILEエリアにあるカードを上から1枚手札に加え、手札を1枚FILEエリアにあるカードの1番下に表向きで移す。この能力はパートナーエリアでも宣言できる。	【カットイン】AP＋2000			松田硯		●【宣言】能力（1つ目）\n\nQ：【宣言】能力の「デッキのカードを上から5枚リムーブする」は、相手のデッキのカードをリムーブすることができますか？\nA：いいえ。【宣言】能力の「:」より左にあるテキスト（コスト）では、自分のカードしか使うことができません。\n\nQ：自分のデッキが5枚ない場合、それらをすべてリムーブすることでこのキャラの【宣言】能力を使用できますか？\nA：いいえ。リムーブできない場合は【宣言】能力を使用できません。\n\n●【宣言】能力（1つ目）\n\nQ：FILEエリアにある（【アシスト】した）パートナーカードを手札に加えることはできますか？\nA：いいえ。パートナーカードを除いて上から1枚を手札に加えます。\n\nQ：FILEエリアの1番上にあるカードが表向きの場合でも、この能力の効果を解決することはできますか？\nA：はい、可能です。\n\n●MR能力\n\nオフィシャルルールマニュアル（［Ver.2.0］では26ページ）をご確認ください。\n\n●キャラの名前が複数あるカード名のルール\n\nオフィシャルルールマニュアル（［Ver.2.0］では27ページ）をご確認ください。
B05066	0566	赤井秀一＆沖矢昴	赤	9	8000	2	MR	FBI|赤井家|大学院生	1742972384125446.jpg	【パートナー赤】【自分ターン中】【ターン1】相手の現場にいるキャラがリムーブされたとき、レベル8以下のキャラを1枚まで選び、リムーブする。\n【宣言】【ターン1】相手の現場にいるキャラを1枚まで選び、ターン終了時までレベル－1する。この能力はパートナーエリアでも宣言できる。	【カットイン】AP＋2000			kawasima.		●【パートナー赤】【自分ターン中】能力\n\nQ：コンタクトによって相手のキャラをリムーブしても発動しますか？\nA：はい。リムーブされる方法は問いません。\n\nQ：相手がスイッチによってキャラをリムーブしても発動しますか？\nA：はい。リムーブされる方法は問いません。\n\n●【宣言】能力\n\nQ：キャラをレベル－1するとどうなりますか？\nA：レベルが下がることで直接の影響はありませんが、能力や効果でキャラのレベルを参照する場合に影響します。（例として、「レベル7以下のキャラを1枚まで選び、～」効果で、もともとレベル8のキャラを選べるようになります。）\n\n●MR能力\n\nオフィシャルルールマニュアル（［Ver.2.0］では26ページ）をご確認ください。\n\n●キャラの名前が複数あるカード名のルール\n\nオフィシャルルールマニュアル（［Ver.2.0］では27ページ）をご確認ください。
B05086	0584	安室透＆降谷零	黄	9	8000	2	MR	探偵,警察,喫茶ポアロ|公安	1742972384139581.jpg	【パートナー黄】【ターン1】自分の現場にいる【黄】のキャラがアクションしたとき、AP8000以下のキャラを1枚まで選び、リムーブする。\n【宣言】【ターン1】【黄】のキャラを1枚まで選び、ターン終了時までAP＋1000する。この能力はパートナーエリアでも宣言できる。	【カットイン】AP＋2000			松田硯		●【パートナー黄】【ターン1】能力\n\nQ：「自分の現場にいる【黄】のキャラがアクションしたとき」の能力は、どのタイミングで発動しますか？\nA：アクションを宣言し、対象を指定してそのキャラをスリープさせた時点で発動します（相手がガードをするか決めるよりも前です）。\n\nQ：アクションで指定したキャラを選んでリムーブすることはできますか？\nA：はい、可能です。リムーブした場合、アクションはそこで終了します。\n\n●MR能力\n\nオフィシャルルールマニュアル（［Ver.2.0］では26ページ）をご確認ください。\n\n●キャラの名前が複数あるカード名のルール\n\nオフィシャルルールマニュアル（［Ver.2.0］では27ページ）をご確認ください。
B05106	0602	ジン＆ウォッカ	黒	9	8000	2	MR	黒ずくめの組織	1742972384145756.jpg	【パートナー黒】【自分ターン中】【ターン1】相手の現場にいるキャラがリムーブされたとき、AP8000以下のキャラを1枚まで選び、リムーブする。\n【宣言】【ターン1】自分の現場にいるレベル8以下のキャラを1枚リムーブしてもよい。そうした場合、カードを1枚引く。この能力はパートナーエリアでも宣言できる。	【カットイン】AP＋2000			海老丸ベベ		●【パートナー黒】【自分ターン中】能力\n\nQ：コンタクトによって相手のキャラをリムーブしても発動しますか？\nA：はい。リムーブされる方法は問いません。\n\nQ：相手がスイッチによってキャラをリムーブしても発動しますか？\nA：はい。リムーブされる方法は問いません。\n\n●MR能力\n\nオフィシャルルールマニュアル（［Ver.2.0］では26ページ）をご確認ください。\n\n●キャラの名前が複数あるカード名のルール\n\nオフィシャルルールマニュアル（［Ver.2.0］では27ページ）をご確認ください。
B05006	0512	毛利小五郎	青	8	8000	0	SR	探偵|毛利探偵事務所	1743742488525995.jpg	【パートナー青】【宣言】【ターン1】このキャラがアクティブ状態の場合、ターン終了時までこのキャラは〚突撃〛（登場したターンからすぐにアクションできる）を持つ。スリープ状態かスタン状態の場合、AP8000以下のキャラを1枚まで選び、リムーブし、カードを1枚引く。この能力は自分の現場に〚カード名［妃英理］〛かこのキャラ以外の〚特徴［毛利探偵事務所］〛のキャラがいる場合に宣言できる。				犬		●【宣言】能力\n\nQ：このキャラがスリープ状態かスタン状態で【宣言】能力を使用した場合、キャラを1枚も選ばず（1枚もリムーブせず）にカードを1枚引くことはできますか？\nA：はい。キャラを1枚も選択しないことは可能で、その場合もカードを1枚引きます。\n\nQ：自分の現場にいるキャラが《毛利小五郎/0512/B05006》2枚の場合、【宣言】能力は使用できますか？\nA：はい、可能です。
B05016	0522	小嶋元太	青	6	5000	1	C	少年探偵団	1743742488530261.jpg	【登場時】自分のデッキのカードを上から3枚見る。その中から〚特徴［少年探偵団］〛のキャラを1枚まで公開して手札に加え、残りをリムーブエリアに移す。						●【登場時】能力\n\nQ：デッキが3枚以下の場合、どのタイミングでリフレッシュを行いますか？\nA：「残りをリムーブエリアに移す。」まで解決したところでリフレッシュを行います。（デッキのカードを見たり公開している時点では、それらのカードはまだデッキにあるカードとして扱われます。この効果の場合は、見たカードをリムーブエリアに移した時点でデッキのカードがなくなったことになります。）\n\nQ：条件を満たすカードがあった場合でも手札に加えないことはできますか？\nA：はい、可能です。
B05018	0524	円谷光彦	青	2	1000	1	C	少年探偵団	1743742488535020.jpg	【宣言】〚リムーブエリアに移す〛：〚カード名［灰原哀］〛のキャラを1枚まで選び、ターン終了時までAP＋2000する。						
B05087	0585	諸伏高明	黄	8	7000	2	SR	警察|長野県警	1743742488539411.jpg	【パートナー黄】【自分ターン中】【ターン1】自分のリムーブエリアにある〚特徴［長野県警］〛のキャラがリムーブエリアから離れたとき、AP7000以下のキャラを1枚まで選び、リムーブする。\n自分のターン終了時、自分のリムーブエリアにあるレベル6以下の〚特徴［長野県警］〛のキャラを1枚まで選び、手札に加える。カードを手札に加え、自分の手札が6枚以上ある場合、手札を1枚リムーブする。				海老丸ベベ		●【パートナー黄】【自分ターン中】能力\n\nQ：自分のターン中にリフレッシュが発生し、特徴［長野県警］のキャラがあるリムーブエリアのカードをシャッフルしてデッキに置いた場合、この能力は発動しますか？\nA：はい。（他の条件を満たしていれば）発動します。
