cardNum	cardId	title	color	level	rarity	imagePath	effect	cutIn	hirameki	illustrator	flavor	qAndA
B06012	0637	石川五右衛門人形	青	7	C	1754284680585465.jpg	このイベントを自分の現場にいる【青】のキャラ1枚にセットする。\nこのイベントがセットされている〚特徴［少年探偵団］〛のキャラは「このキャラがコンタクトしたとき、そのコンタクト中、このキャラをAP＋2000する。」を持つ。\n自分か相手のターン終了時、キャラにセットされているこのイベントをリムーブしてもよい。そうした場合、自分のリムーブエリアにあるレベル8以下の〚カード名［阿笠博士］〛を1枚まで選び、スリープ状態で登場させる。					Q：「セットする」とは何ですか？\nA：キャラ1枚に、このイベントが付いた状態になります。セットされているキャラが現場を離れる場合、このイベントはリムーブされます。\n\nQ：自分の現場に【青】のキャラが1枚もない場合でもこのイベントを使用できますか？\nA：はい、可能です。「セットする」を実行できない場合、このイベントは解決後にリムーブエリアに置かれます。（ただし、セットできるキャラがいる場合は必ずセットします。）\n\nQ：このイベントは【青】のキャラであれば特徴［少年探偵団］以外のキャラにもセットできますか？\nA：はい、可能です。\n\nQ. 「コンタクトしたとき」発動する能力は、相手のアクションで発生したコンタクトでも発動しますか？\nA. はい。どちらがアクションしたかには関係なく、該当のキャラが参加するコンタクトが発生した時点で発動します。\n\nQ：能力や効果によって登場したキャラの【登場時】能力は発動しますか？\nA：はい、発動します。
B06012P	0637	石川五右衛門人形	青	7	CP	1755684931853848.jpg	このイベントを自分の現場にいる【青】のキャラ1枚にセットする。\nこのイベントがセットされている〚特徴［少年探偵団］〛のキャラは「このキャラがコンタクトしたとき、そのコンタクト中、このキャラをAP＋2000する。」を持つ。\n自分か相手のターン終了時、キャラにセットされているこのイベントをリムーブしてもよい。そうした場合、自分のリムーブエリアにあるレベル8以下の〚カード名［阿笠博士］〛を1枚まで選び、スリープ状態で登場させる。					Q：「セットする」とは何ですか？\nA：キャラ1枚に、このイベントが付いた状態になります。セットされているキャラが現場を離れる場合、このイベントはリムーブされます。\n\nQ：自分の現場に【青】のキャラが1枚もない場合でもこのイベントを使用できますか？\nA：はい、可能です。「セットする」を実行できない場合、このイベントは解決後にリムーブエリアに置かれます。（ただし、セットできるキャラがいる場合は必ずセットします。）\n\nQ：このイベントは【青】のキャラであれば特徴［少年探偵団］以外のキャラにもセットできますか？\nA：はい、可能です。\n\nQ. 「コンタクトしたとき」発動する能力は、相手のアクションで発生したコンタクトでも発動しますか？\nA. はい。どちらがアクションしたかには関係なく、該当のキャラが参加するコンタクトが発生した時点で発動します。\n\nQ：能力や効果によって登場したキャラの【登場時】能力は発動しますか？\nA：はい、発動します。
B06033	0656	「わが味方となるべし!!」	緑	6	C	1754285189451959.jpg	自分の証拠を1つ選び、手札に加えてもよい。そうした場合、手札からカードを1枚裏向きで証拠として得る。\n手札からレベル6以下の【緑】の〚特徴［YAIBA］〛のキャラを1枚まで登場させる。		【ヒラメキ】（証拠からリムーブされるときに発動する）このカードを手札に加える。			Q：自分の証拠を選ぶ際、どの順番に置かれているカードでも選べますか？\nA：はい、どの順番に置かれている証拠でも選べます。そのうえで、手札から裏向きで得る証拠は1番上に置かれます。\n\nQ：証拠から手札に加えたカードを登場させることはできますか？\nA：はい。レベル6以下の【緑】の特徴［YAIBA］のキャラであれば登場させることができます。
B06033P	0656	「わが味方となるべし!!」	緑	6	CP	1755684948515497.jpg	自分の証拠を1つ選び、手札に加えてもよい。そうした場合、手札からカードを1枚裏向きで証拠として得る。\n手札からレベル6以下の【緑】の〚特徴［YAIBA］〛のキャラを1枚まで登場させる。		【ヒラメキ】（証拠からリムーブされるときに発動する）このカードを手札に加える。			Q：自分の証拠を選ぶ際、どの順番に置かれているカードでも選べますか？\nA：はい、どの順番に置かれている証拠でも選べます。そのうえで、手札から裏向きで得る証拠は1番上に置かれます。\n\nQ：証拠から手札に加えたカードを登場させることはできますか？\nA：はい。レベル6以下の【緑】の特徴［YAIBA］のキャラであれば登場させることができます。
B06034	0657	鬼丸城	緑	4	C	1754285189456772.jpg	【解決編】自分の裏向きの証拠を1つまで選び、表向きにする。この効果によって【ヒラメキ】を持つ〚特徴［YAIBA］〛のカードが表向きになった場合、その【ヒラメキ】の効果を発動させてもよい。		【ヒラメキ】【解決編】自分の裏向きの証拠を1つまで選び、表向きにする。この効果によって【ヒラメキ】を持つ〚特徴［YAIBA］〛のカードが表向きになった場合、その【ヒラメキ】の効果を発動させてもよい。			Q：《ケロ介/0648/B06025》や《「わが味方となるべし!!」/0656/B06033》など、別のエリアに移動する【ヒラメキ】の効果を発動させたらどうなりますか？\nA：効果のとおり移動します。《ケロ介/0648/B06025》であれば（証拠エリアから）登場します。\n\nQ：相手の現場に《世良真純/0579/B05079》がいる場合など、自分が「【ヒラメキ】を発動できない」場合、このイベントを使用したら【ヒラメキ】の効果を発動させることはできますか？\nA：はい。この効果では【ヒラメキ】の「効果」を発動させるので、「【ヒラメキ】を発動できない」の影響を受けません。（このカード自体の【ヒラメキ】は発動できません。）\n\nQ：アイコンの条件を満たしていないものなど、有効でない【ヒラメキ】の効果を発動させることはできますか？\nA：発動させることはできますが、何も起こりません。\n\nQ：《コウモリ男（バットマン）/0649/B06026》などが持つ「自分の表向きの証拠を1つまで選び、裏向きにする」効果を発動させた場合、そのカード自体を裏向きにすることはできますか？\nA：はい、可能です。
B06035	0658	風神剣	緑	7	C	1754285189462482.jpg	キャラを1枚まで選び、リムーブする。		【ヒラメキ】【事件YAIBA】【解決編】手札を1枚リムーブしてもよい。そうした場合、キャラを1枚まで選び、リムーブする。（自分の事件が解決編になっている場合、この能力か効果を使える）			●【ヒラメキ】\n\nQ：【事件YAIBA】のアイコンはなんですか？\nA：自分の事件が特徴［YAIBA］を持つ場合にこの能力が有効になります。\n\nQ：「アクション中のキャラ」（アクション［事件］でこのカードの【ヒラメキ】を発動させたキャラ）をリムーブした場合、アクション［事件］はどうなりますか？\nA：その場合も、アクション［事件］による相手の証拠の獲得までは進めて、アクションを終了します。
B06042	0665	ここで会うたが百年目	緑	5	C	1754285189525906.jpg	自分の現場にいるキャラを1枚まで選び、ターン終了時までAP＋1000し、「【宣言】【ターン1】相手の現場にいるキャラを1枚まで選び、このキャラとのコンタクトを発生させる。（このキャラがアクションした側のキャラになる）」を与える。		【ヒラメキ】（証拠からリムーブされるときに発動する）カードを1枚引く。			Q：与えた【宣言】能力は、このイベントで選んだキャラが（このターン中に）アクションした後でも使用できますか？\nA：はい、可能です。自分のメインフェイズ中に【宣言】能力を使用できるタイミングであればいつでも使用できます。\n\nQ：このイベントを2回使用して同じキャラを選んだ場合、効果で与えた「【宣言】【ターン1】相手の～」は2回使用できますか？\nA：はい。「【宣言】【ターン1】相手の～」能力を2つ持つことになるので、それぞれをターン中に1回、合わせて2回まで使用できます。\n\nQ：「コンタクトを発生させる」とどうなりますか？\nA：このキャラと選んだキャラの間でコンタクトが発生します。このキャラをアクションした側のキャラとして、通常の手順どおりコンタクトを行います。（【カットイン】や【変装】も使用できます。）\n\nQ：相手の「コンタクトを発生させる」に対して、ガードすることできますか？\nA：いいえ。コンタクトの発生は（本来のアクションの手順において）ガードより後なので、ガードすることはできません。\n\nQ：与えた【宣言】能力によって、相手の現場にいるアクティブ状態のキャラとコンタクトを発生させることはできますか？\nA：はい。この能力によって選べるキャラであれば、選んでコンタクトを発生させることができます。逆に「相手の能力や効果によって選ばれない」を持つキャラなど、選べないキャラとのコンタクトを発生させることはできません。\n\nQ：与えた【宣言】能力によってコンタクトを発生させたとき、能力を使用したキャラと、能力によって選んだキャラはスリープ状態になりますか？\nA：いいえ。「コンタクトを発生させる」によってキャラはスリープ状態になりません。\n\nQ：与えた【宣言】能力によってコンタクトを発生させた場合、アクションによって発動する能力（「このキャラがアクションしたとき、～」など）は発動しますか？\nA：いいえ。これはアクションではないので、アクションによって発動する能力や「アクション終了時」の能力は発動しません。\n\nQ：与えた【宣言】能力によってコンタクトを発生させた場合、コンタクトによって発動する能力（「このキャラがコンタクトしたとき、～」や「相手の現場にいるキャラがこのキャラとのコンタクトによってリムーブされたとき、～」など）は発動しますか？\nA：はい。通常のコンタクトと同様に発動します。\n\nQ：効果で与えた「【宣言】【ターン1】相手の～」は、ターン終了時に効果が切れますか？\nA：はい。「ターン終了時まで～し、～する。」効果は、すべてターン終了時に効果が切れます。
B06042P	0665	ここで会うたが百年目	緑	5	CP	1755684948550605.jpg	自分の現場にいるキャラを1枚まで選び、ターン終了時までAP＋1000し、「【宣言】【ターン1】相手の現場にいるキャラを1枚まで選び、このキャラとのコンタクトを発生させる。（このキャラがアクションした側のキャラになる）」を与える。		【ヒラメキ】（証拠からリムーブされるときに発動する）カードを1枚引く。			Q：与えた【宣言】能力は、このイベントで選んだキャラが（このターン中に）アクションした後でも使用できますか？\nA：はい、可能です。自分のメインフェイズ中に【宣言】能力を使用できるタイミングであればいつでも使用できます。\n\nQ：このイベントを2回使用して同じキャラを選んだ場合、効果で与えた「【宣言】【ターン1】相手の～」は2回使用できますか？\nA：はい。「【宣言】【ターン1】相手の～」能力を2つ持つことになるので、それぞれをターン中に1回、合わせて2回まで使用できます。\n\nQ：「コンタクトを発生させる」とどうなりますか？\nA：このキャラと選んだキャラの間でコンタクトが発生します。このキャラをアクションした側のキャラとして、通常の手順どおりコンタクトを行います。（【カットイン】や【変装】も使用できます。）\n\nQ：相手の「コンタクトを発生させる」に対して、ガードすることできますか？\nA：いいえ。コンタクトの発生は（本来のアクションの手順において）ガードより後なので、ガードすることはできません。\n\nQ：与えた【宣言】能力によって、相手の現場にいるアクティブ状態のキャラとコンタクトを発生させることはできますか？\nA：はい。この能力によって選べるキャラであれば、選んでコンタクトを発生させることができます。逆に「相手の能力や効果によって選ばれない」を持つキャラなど、選べないキャラとのコンタクトを発生させることはできません。\n\nQ：与えた【宣言】能力によってコンタクトを発生させたとき、能力を使用したキャラと、能力によって選んだキャラはスリープ状態になりますか？\nA：いいえ。「コンタクトを発生させる」によってキャラはスリープ状態になりません。\n\nQ：与えた【宣言】能力によってコンタクトを発生させた場合、アクションによって発動する能力（「このキャラがアクションしたとき、～」など）は発動しますか？\nA：いいえ。これはアクションではないので、アクションによって発動する能力や「アクション終了時」の能力は発動しません。\n\nQ：与えた【宣言】能力によってコンタクトを発生させた場合、コンタクトによって発動する能力（「このキャラがコンタクトしたとき、～」や「相手の現場にいるキャラがこのキャラとのコンタクトによってリムーブされたとき、～」など）は発動しますか？\nA：はい。通常のコンタクトと同様に発動します。\n\nQ：効果で与えた「【宣言】【ターン1】相手の～」は、ターン終了時に効果が切れますか？\nA：はい。「ターン終了時まで～し、～する。」効果は、すべてターン終了時に効果が切れます。
B06062	0683	かみなり斬り	白	7	C	1754285220535505.jpg	AP8000以下のキャラを1枚まで選び、リムーブする。このイベントを自分の現場にいるレベル8以上の〚特徴［YAIBA］〛のキャラ1枚にセットする。自分のデッキのカードを上から3枚リムーブする。					Q：「セットする」とは何ですか？\nA：キャラ1枚に、このイベントが付いた状態になります。セットされているキャラが現場を離れる場合、このイベントはリムーブされます。\n\nQ：キャラを選んでリムーブしなくても、このイベントをセットできますか？\nA：はい、可能です。\n\nQ：自分の現場にレベル8以上の特徴［YAIBA］のキャラが1枚もない場合でもこのイベントを使用できますか？\nA：はい、可能です。「セットする」を実行できない場合、このイベントは「自分のデッキのカードを上から3枚リムーブする。」まで解決した後にリムーブエリアに置かれます。（ただし、セットできるキャラがいる場合は必ずセットします。）\n\nQ：デッキが2枚以下の場合「自分のデッキのカードを上から3枚リムーブする。」はどうなりますか？\nA：可能な限りの枚数（デッキの残りのカードすべて）をリムーブします。その後「リフレッシュ」を行いますが、残りの枚数はリムーブしません。
B06062P	0683	かみなり斬り	白	7	CP	1755684948609241.jpg	AP8000以下のキャラを1枚まで選び、リムーブする。このイベントを自分の現場にいるレベル8以上の〚特徴［YAIBA］〛のキャラ1枚にセットする。自分のデッキのカードを上から3枚リムーブする。					Q：「セットする」とは何ですか？\nA：キャラ1枚に、このイベントが付いた状態になります。セットされているキャラが現場を離れる場合、このイベントはリムーブされます。\n\nQ：キャラを選んでリムーブしなくても、このイベントをセットできますか？\nA：はい、可能です。\n\nQ：自分の現場にレベル8以上の特徴［YAIBA］のキャラが1枚もない場合でもこのイベントを使用できますか？\nA：はい、可能です。「セットする」を実行できない場合、このイベントは「自分のデッキのカードを上から3枚リムーブする。」まで解決した後にリムーブエリアに置かれます。（ただし、セットできるキャラがいる場合は必ずセットします。）\n\nQ：デッキが2枚以下の場合「自分のデッキのカードを上から3枚リムーブする。」はどうなりますか？\nA：可能な限りの枚数（デッキの残りのカードすべて）をリムーブします。その後「リフレッシュ」を行いますが、残りの枚数はリムーブしません。
