cardNum	cardId	title	color	rarity	imagePath	difficultyFirst	difficultySecond	effect	illustrator	qAndA
PR037	0258	平成のホームズ	青	PR	1917d986bfa1d0.jpg	7	6			
PR067	0407	探偵の目	青緑白赤黄黒	PR	1732542002124471.jpg	6	5	この事件は指定されたイベントでのみ使用できる。<br>自分のパートナーの色は【青】【緑】【白】【赤】【黄】【黒】になる。<br>自分の現場に置けるキャラの枚数は〚最大4枚まで〛になる。		{"この事件カードはどのようなイベントで使用できますか？":"公認店イベント「8パック開封戦」など、このカードを使用することが指定されているイベントでのみ使用できます。（特に指定されていないかぎり、それ以外のイベントでは使用できません。）"}
PR115	0617	隻眼の残像	黄	PR	1965d57010e156.jpg	7	6			
PR073	0479	「またまたわたしの勝ちね！」	青	PR	1753702551194984.jpg	7	6			
PR170	0638	厄介な難事件	青	PR	198d08b3a95380.jpg	7	6	この事件が解決編に移行したとき、自分は手札を1枚リムーブする。\n【解決編】【宣言】【ターン1】〚裏向きの証拠を2つ表向きにする〛：自分のデッキのカードを上から3枚見る。その中から〚カード名［工藤新一］〛か〚［毛利蘭］〛を1枚まで公開して手札に加え、残りを好きな順番でデッキの下に移す。この能力は自分の現場に〚カード名［工藤新一］〛か〚［毛利蘭］〛がいる場合に宣言できる。		
PR176	0204	浪花の連続殺人事件	緑	PR	1759195553216975.jpg	7	6			
PR211	0187	水色の想い出	青	PR	1766493009004211.jpg					
PR218	0837	「この勝負、もろたで工藤!!!」	緑	PR	1769159336001063.jpg	7	6			
PR286	1059	ハイウェイの堕天使	黄	PR	1779885194389343.jpg	7	6	この事件が解決編になったとき、自分は手札を1枚リムーブする。\n【解決編】【宣言】【ターン1】〚手札から、〚特徴［神奈川県警］〛のキャラか【疾風】を持つキャラを1枚リムーブする〛：このターン中、次に自分の現場に登場したキャラは【疾風】の条件を無視できる。（2番目以降に登場しても発動する）		Q：パートナーが【アシスト】したときに条件を満たしていた場合、事件を解決編にしないことはできますか？\nA：いいえ、できません。\n\n●【宣言】能力\n\nQ：【宣言】能力のコストでは、（アイコンの条件を満たしていないなどで）有効でない【疾風】能力を持つキャラをリムーブできますか？\nA：はい。有効かどうかに関係なく【疾風】能力を持つキャラをリムーブできます。\n\nQ：この【宣言】能力を使用した後で次に自分の現場に登場したキャラは、【疾風】能力が有効になる条件（【FILE○】のアイコンなど）も無視できますか？\nA：いいえ。この【宣言】能力で無視できるのは【疾風】そのもの条件（自分の現場にこのターンで1番に登場したときに発動する）のみです。そのほかの条件によって有効でない場合、能力は発動しません。
PR302	1064	TVアニメ「名探偵コナン」放送30周年！	青	PR	1782441097699935.jpg	7	6			
