cardNum	cardId	title	color	level	ap	lp	rarity	features	imagePath	effect	cutIn	hirameki	henso	illustrator	flavor	qAndA
PR006	0161	江戸川コナン	青	4	4000	1	PR	探偵,毛利探偵事務所,少年探偵団	1714013177235696.jpg	【自分ターン中】このキャラがコンタクトしたとき、手札を1枚リムーブしてもよい。そうした場合、そのコンタクト中、このキャラをAP＋2000する。		【ヒラメキ】（証拠からリムーブされるときに発動する）カードを1枚引く。				
PR023	0004	江戸川コナン	青	5	6000	1	PR	探偵,毛利探偵事務所,少年探偵団	18fb83a8ca150.jpg			【ヒラメキ】（証拠からリムーブされるときに発動する）カードを1枚引く。				
PR024	0120	怪盗キッド	白	7	6000	1	PR	怪盗	190586a95e0111.jpg	【パートナー白】〚迅速〛（登場したターンからすぐに推理かアクションできる）						
PR025	0106	服部平次	緑	7	6000	1	PR	探偵|高校生	19111723961136.jpg	【パートナー緑】〚迅速〛（登場したターンからすぐに推理かアクションできる）						
PR026	0253	毛利蘭	青	5	5000	0	PR	高校生|毛利探偵事務所|空手家	1721703853374153.jpg	【登場時】自分のデッキのカードを上から1枚見る。その中から〚カード名［妃英理］〛か〚カード名［工藤新一］〛か〚特徴［毛利探偵事務所］〛のキャラを1枚まで公開して手札に加え、残りを好きな順番でデッキの下に移す。						
PR027	0254	白馬探	白	6	6000	1	PR	探偵|高校生	1721703853380347.jpg	〚ミスリード1〛（相手の推理に対し、スリープさせることでLP－1する）\n【登場時】自分のリムーブエリアにあるすべてのカードをデッキの下に移し、デッキをシャッフルする。						{"「ミスリード1」とはなんですか":"相手のキャラかパートナーが推理したとき、自分の現場にいるアクティブ状態のミスリードを持つキャラをスリープさせることで、推理したパートナー／キャラを（その推理の終了時まで）LP－1します。","「ミスリード」は1回の推理に対して複数行えますか":"はい。1回につき何枚でも同時に行えます。","デッキが1枚の状況で《「Ladies♡ and… Gentlemen!!」/0130/D03014》を使用し、カードを手札に加えてこのキャラを登場させます。これによってリフレッシュよりも先に【登場時】の能力を解決できますか":"いいえ、その場合は手札に加えた時点でデッキがなくなったことになり、即座にリフレッシュを行います。（デッキのカードは、公開したり見ている間はまだデッキにあるものとして扱われます。）同じ状況で手札に加えなかった（見た1枚をデッキに移した）場合はリフレッシュを行いません。"}
PR028	0255	ジョディ・スターリング	赤	5	5000	1	PR	FBI	1721703853384516.jpg	【ターン1】自分の現場にいるキャラのアクション［事件］によって証拠を得たとき、このキャラをスリープさせてもよい。そうした場合、相手は手札を1枚リムーブする。		【ヒラメキ】（証拠からリムーブされるときに発動する）相手は手札を1枚リムーブする。				{"自分の現場にいるキャラのアクション［事件］によって証拠を得たとき、このキャラをスリープさせませんでした。そのターン中にもう一度アクション［事件］によって証拠を得たとき、このキャラをスリープさせて相手に手札をリムーブさせることはできますか":"いいえ。【ターン1】の能力がすでに一度発動しているので、そのターン中は条件を満たしても発動しません。","「自分の現場にいるキャラのアクション［事件］によって証拠を得たとき」の能力で、スリープ状態やスタン状態のこのキャラをスリープさせることはできますか":"いいえ、アクティブ状態のキャラでなければ「スリープさせる」ことはできません。","【ターン1】で発動する能力は、同じカードが複数自分の現場にいる場合、すべて同時に発動しますか？":"はい。すべて同時に発動し、好きな順番で解決します。（条件を満たしたときに発動させないことは選択できません。）"}
PR029	0256	白鳥任三郎	黄	4	4000	1	PR	警察|警視庁	1721703853387008.jpg	【ターン1】相手が【カットイン】か【変装】を使用したとき、コンタクト中のキャラを1枚まで選び、このコンタクト中、AP－1000する。		【ヒラメキ】（証拠からリムーブされるときに発動する）カードを1枚引く。\n				{"「相手が【変装】を使用したとき」の能力は、相手の【変装】したキャラの【変装時】能力とどちらを先に解決しますか？":"【変装】が完了した時点でどちらも未解決の状態なので、ターンプレイヤーから優先して解決します。"}
PR030	0253	毛利蘭	青	5	5000	0	PR	高校生|毛利探偵事務所|空手家	1721703853391437.jpg	【登場時】自分のデッキのカードを上から1枚見る。その中から〚カード名［妃英理］〛か〚カード名［工藤新一］〛か〚特徴［毛利探偵事務所］〛のキャラを1枚まで公開して手札に加え、残りを好きな順番でデッキの下に移す。						
PR031	0254	白馬探	白	6	6000	1	PR	探偵|高校生	1721703853394289.jpg	〚ミスリード1〛（相手の推理に対し、スリープさせることでLP－1する）\n【登場時】自分のリムーブエリアにあるすべてのカードをデッキの下に移し、デッキをシャッフルする。						{"「ミスリード1」とはなんですか":"相手のキャラかパートナーが推理したとき、自分の現場にいるアクティブ状態のミスリードを持つキャラをスリープさせることで、推理したパートナー／キャラを（その推理の終了時まで）LP－1します。","「ミスリード」は1回の推理に対して複数行えますか":"はい。1回につき何枚でも同時に行えます。","デッキが1枚の状況で《「Ladies♡ and… Gentlemen!!」/0130/D03014》を使用し、カードを手札に加えてこのキャラを登場させます。これによってリフレッシュよりも先に【登場時】の能力を解決できますか":"いいえ、その場合は手札に加えた時点でデッキがなくなったことになり、即座にリフレッシュを行います。（デッキのカードは、公開したり見ている間はまだデッキにあるものとして扱われます。）同じ状況で手札に加えなかった（見た1枚をデッキに移した）場合はリフレッシュを行いません。"}
