batch	label	memberCount	soleUnlock	additive	effort	stale	sampleCards	vocabAbsent	enginePlugPoint	cardTextPattern	representativeQuote
setcard-stack-subsystem	P01: set-card→host 継続/triggered/keyword/保護 rider (host が setCards[].cardId の def を読む)	26	26	pure-additive	M		B01023,B02013,B06012,B05041	read/char.ts continuousDelta/keywords/restrictsOpponent に set-card-def walk 無 (host own abilities のみ); triggered.ts:197 abilityList に setCards 由来 ability 不含; AbilityScope に on-set-host enum 無 (card-def.ts:26 は on-scene/on-partner-area/on-hand/on-evidence/always のみ — メモ記載の b34d33cc on-set-host は当 checkout に未マージ、grep 0 件); set-card def の能力を host へ束ねる host-side projection 関数無	src/engine/read/char.ts continuousDelta (line 47 `for (const ability of d.abilities ?? [])`), keywords (line 216 同), restrictsOpponent (line 254 同) は全て host 自身の `d = def.card(char.cardId)` の abilities のみ走査し、char.setCards[].cardId の CardDef abilities を一切 walk しない。triggered listener も src/engine/listeners/triggered.ts:197-208 で `def.abilities` + turnEffects.grantedAbilities のみで set-card def を含めない。新コードは read/char.ts の3 reader と triggered.ts:197 の abilityList 構築に「host.setCards[].cardId の faceUp def の continuous/triggered ability を host scope に注入する」walk を追加する必要がある。	イベント/カードを現場キャラにセットし、そのキャラが set-card 由来の能力を継続保持する全パターンを実装可能にする。継続キーワード付与「このイベントがセットされているキャラは〚突撃〛を持つ」(B02013) / コンタクト時 AP buff「このキャラがコンタクトしたとき、そのコンタクト中、このキャラをAP＋2000する」(B01023) / 継続 AP「【自分ターン中】AP＋2000」(B06063) / 保護「このイベントがセットされているキャラは、相手の能力や効果によってリムーブされず、スリープされず、スタンされない」(B05041) / trait-gated 付与「セットされている〚特徴［少年探偵団］〛のキャラは…AP＋2000を持つ」(B06012) / active-gated 保護付与「このキャラがスリープ状態の場合、自分の現場にいる〚カード名［灰原哀］〛は相手の能力や効果によって選ばれない」(B08017)。	このイベントがセットされているキャラは〚突撃〛（登場したターンからすぐにアクションできる）を持つ。(B02013)
setcard-stack-subsystem	P27: 両側選択キャラへ持ち主デッキからセット (charSetCard pick-target + picked-host-owner deck source)	2	2	pure-additive	S		PR136,PR142	charSetCard args に player:'owner-of-picked' 相当の source 指定無 (resolvePlayer は 'self'/'opp' 絶対のみ、_shared.ts:156); picked host uid から owner side を引いて deck source に渡す配線無	src/engine/effect/atom-handlers/char.ts charSetCard handler: fromDeckTop 分岐 (line 213) は `const sscP = resolvePlayer(a.player ?? 'self', ctx)` (line 223) で deck source を ctx.source 相対の固定 'self'/'opp' に解決する。pick した host (scUid) の owner と deck source を連動させる仕組みが無い。「持ち主のデッキ」= picked-host の owner side を deck source にする owner-relative source を line 223 付近に追加する必要がある。	いずれの側のキャラも選べて、その選んだキャラの『持ち主のデッキ』(=opp なら opp デッキ) の上から1枚を裏向きでセットする。コンタクト破壊の reaction でセットする伊織無我のパターン。	キャラを1枚まで選び、持ち主のデッキのカードを上から1枚裏向きでセットする。(PR136)
setcard-stack-subsystem	相手キャラに相手デッキからセット (host=opp, source=opp deck)	2	2	pure-additive	S		B05031	理論上 vocab 不足無 (既存 charSetCard fromDeckTop+player:'opp'+side:'opp' で被覆の可能性) — 但し opp-host への faceDown set + opp-deck shift の実機経路が未検証 (出荷カード 0 件)。確証無いため NEW 維持、probe で staleShipped 判定要	src/engine/effect/atom-handlers/char.ts charSetCard fromDeckTop (line 213) + buildShortFormPick (atom-pick-spec.ts:88 `side` honor) は host を side:'opp' で pick でき、player:'opp' で opp deck から shift できる。host も deck も両方 opp で一致するため、この1枚は既存 charSetCard {fromDeckTop:true, player:'opp', side:'opp', faceUp:false} で表現可能性が高い (P27 のような owner-relative 連動を要しない退化ケース)。要 vitest probe で opp-host への setCard + opp-deck shift が end-to-end で通るか裏取り。	相手の現場キャラを選び、相手のデッキ上から1枚を裏向きでセットして相手のリソースを縛る。【登場時】で相手キャラに set-card を載せる伊織無我。	【登場時】相手の現場にいるキャラを1枚まで選び、相手のデッキのカードを上から1枚裏向きでセットする。(B05031)
setcard-stack-subsystem	P28: setcard-source = remove-area (リムーブエリアの指定カードを裏向きセット)	2	2	pure-additive	S		B08036	charSetCard handler に remove-area source 分岐無 (fromDeckTop / static cardId のみ); remove からセット対象を cardId-pick して splice する配線が charStackCard:296 にはあるが charSetCard には未移植	src/engine/effect/atom-handlers/char.ts charSetCard は source として fromDeckTop (line 213) と static cardId (line 240) の2系統のみ。charStackCard (同ファイル line 296) は `sourceArea === 'remove'|'hand'|'deck'` で arr.splice する remove-area source 分岐を持つが、charSetCard には無い。charSetCard に target.query.area==='remove' の card-pick → remove から splice → setCard の分岐を line 240 付近へ追加する必要がある (charStackCard の line 296 と同型移植)。	デッキトップ/手札ではなく『自分のリムーブエリアにある特定カード名』を選んで裏向きでキャラにセットする。墓地の工藤有希子を再利用するクリス・ヴィンヤード。	自分のリムーブエリアにある〚カード名［工藤有希子］〛を1枚まで選び、裏向きでこのキャラにセットする。(B08036)
setcard-stack-subsystem	P25 effect: scene-char を別キャラの下に重ねる (現場キャラ identity を stack-under, 効果版)	4	2	structural	M		B06008,B06005	charStackCard の sourceArea 集合に 'scene' 無 (atom-handlers/char.ts:296); 現場キャラを『リムーブでなく重ねる』(rules/16 §下に重ねる) で scene から抜く mutate verb 無 (mutate.scene.removeToRemove はリムーブ扱い=現場リムーブ時 hook 発火で意味相違)	src/engine/effect/atom-handlers/char.ts charStackCard handler は sourceArea 分岐が `remove|hand|deck` のみ (line 296) で 'scene' を含まない。現場キャラを下に重ねるには (a) 対象を scene から除去 (現場リムーブ時 hook 不発の『重ねる』semantics rules/16) し (b) host の stackedCards++ する必要があるが、scene-source splice + 重ね移動の経路が無い。line 296 の sourceArea 判定に 'scene' を追加 + scene からの非リムーブ除去 verb を配線する。	効果で現場のキャラ(自身または他の現場キャラ)を別の現場キャラの下に重ねる(=現場から消し、対象の stackedCards を増やす)。仮面ヤイバーは自身をアクション終了時に別キャラ下へ、阿笠博士は宣言で重なりカードを移し替える。	このキャラのアクション終了時、自分の現場にいる〚カード名［仮面ヤイバー］〛以外のキャラを1枚選び、このキャラをそのキャラの下に重ねる。(B06008)
setcard-stack-subsystem	P25 cost: 現場キャラを自身の下に重ねるコスト (scene-char stack-under as cost)	1	1	pure-additive	S		B09048	Cost union (effect.ts:241) に stack-under cost kind 無; cost/evaluate.ts canPay・cost/pay.ts pay の switch に case 無; COST_KIND_MAP (evaluate.ts:21) tsc 網羅対象に未追加; costToText (cost.ts) に文言無	src/engine/types/effect.ts Cost union (line 241-277) に stack-under 系の cost kind が全く無い。cost/evaluate.ts canPay (line ~28 switch) と cost/pay.ts (line 36+ switch) も対応 case 無。新 Cost kind {kind:'sceneStackUnderSelf', target} を effect.ts:277 へ追加し、evaluate.ts/pay.ts の switch (tsc exhaustive COST_KIND_MAP:21 が網羅強制) + ui/hooks/useActionsPanelFlow/cost.ts:38 costToText の計5 site を additive 追加する。	宣言能力のコストとして、現場の特定キャラを自身(発動キャラ)の下に重ねる。条件付き宣言で重ねコストを払いリムーブ効果を得る中森銀三。	【宣言】〚現場にいるレベル6以上の【黄】の特徴［警察］のキャラを1枚このキャラの下に重ねる〛：レベル6以下のキャラを1枚まで選び、リムーブする。(B09048)
setcard-stack-subsystem	P26 cost: 手札カードを現場キャラの下に重ねるコスト (hand-stack-under as cost)	1	1	pure-additive	S		B08006	Cost union (effect.ts:241) に hand-stack-under cost kind 無; cost/evaluate.ts canPay (手札 filter 一致存在 + 重ね先 host 存在の二条件) 無; cost/pay.ts に手札→重ね移動 + 公開 (reveal) の pay 実装無; costToText 文言無	src/engine/types/effect.ts Cost union (line 241) に hand-stack-under cost kind 無。charStackCard の effect 版は sourceArea:'hand' を持つ (atom-handlers/char.ts:296) が、これはコストではなく effect。新 Cost kind {kind:'handStackUnder', target(host pick), filter(hand card)} を effect.ts へ追加し、pay.ts で手札 splice + 公開 + host.stackedCards++ を実装。P25-cost と同じ5 site additive。	宣言能力のコストとして、手札の特定キャラを公開し現場キャラの下に重ねる。手札の少年探偵団キャラを公開して重ねコストにする小嶋元太。	【宣言】【スリープ】〚手札から特徴［少年探偵団］のキャラを1枚公開し、自分の現場にいる【青】のキャラ1枚の下に重ねる〛：レベル7以下のキャラを1枚まで選び、リムーブする。(B08006)
setcard-stack-subsystem	P43: 効果での合算セットカード除去 + 枚数分岐 (effect-version multi-host set-card drain + count branch)	1	1	pure-additive	S		B07031P	effect 側に count-based 合算 set-card 除去 verb 無 (charRemoveSetCard:274 は単一 host 末尾1枚のみ); 合算除去成立数を chain 分岐条件に渡す配線無 (removeSetCard は Cost で effect:271、branch 化されない); 効果版『裏向きセット合計N枚リムーブ』atom 不在	src/engine/effect/atom-handlers/scene.ts charRemoveSetCard handler (line 274-296) は picked 1 host (rsUid) から removeOneSetCard で末尾1枚を外すのみ。複数 host 横断の count-based 合算除去 (合わせて2枚) + 除去成立数で chain 分岐する効果が無い。removeSetCard は count-based 合算 self-pool だが Cost kind (effect.ts:271) であり branch 不可。新 effect atom verb (count-based set-card drain) + chain の『そうした場合』(removed===n) gate を追加する必要がある。	効果(コストでなく)として、自分の複数の現場キャラに裏向きセットされたカードを『合わせてN枚』除去し、N枚除去できたか(=そうした場合)で後続効果を分岐する。set-card を弾薬として合算消費する小泉紅子。	自分の現場にいるキャラに裏向きでセットされているカードを合わせて2枚リムーブしてもよい。そうした場合、自分のリムーブエリアにあるレベル3以下の【白】のキャラを1枚まで選び、登場させる。(B07031P)
batch-leave-remove-disguise-hooks	P02 離場 prevention/replacement hook (現場リムーブを『代わりに残す/手札へ』で阻止・置換)	3	3	structural	L		B01092,B01039,B01092P	removeToRemove に pre-splice の『離脱結末を差し替える』return-path 無 (現状 RemoveCause enum='contact-ap'|'effect'|'switch'|'cost'|'misplay-overflow' のみ、redirect 先 hand/keep-in-scene の表現無)。TriggerRef on:'leave' の matcher/consumer 未実装。RemoveResult に prevented/redirectedTo フィールド無。leave:to-remove emit 抑止フラグ(置換成立時)無。	src/engine/mutate/scene.ts:189-274 removeToRemove。現状は splice(L234)→remove.push(L235)→leave:to-remove emit(L240-253)→MR redirect(L256-260) の順で、emit が splice の『後』に出る post-splice 設計。離脱を阻止/置換する pre-splice consult hook が存在しない。replace/negate を運ぶ TriggerRef {on:'leave';who} (src/engine/types/effect.ts:180) は型に宣言があるだけで engine 全域で一切 consume されない(grep一致1=型定義のみ)。replace/negate Effect kind(resolver.ts:161, resolve/stack.ts:228) は『pendingEffects の queue 済みエントリ』を id-keyed で書換えるだけで、removeToRemove の物理 splice には介入できない。さらに本置換は『現場リムーブ時を発動させない』必要があり、leave:to-remove emit 自体を抑止せねばならない(現コードは misplay-overflow のみ emit 抑止)。	キャラ/イベントが、相手の能力・効果・コンタクトによる『現場からの離脱(リムーブ)』そのものを阻止し、別の結末に差し替える。B01092 松田陣平:『…キャラ1枚が相手の能力や効果、コンタクトによって現場から離れるとき、このキャラをリムーブしてもよい。そうした場合、そのキャラは現場から離れる代わりに手札に移す。』 / B01039 「かっ…和葉ァ!!!」:『このイベントがセットされているキャラが相手の能力や効果、コンタクトによって現場から離れるとき、このイベントをリムーブし、そのキャラは現場から離れる代わりに現場に残る。』。公式Q&A明記=この置換が起きると離脱を『行わなかったことにする』ため、対象キャラの【現場リムーブ時】能力は発動しない。	そのキャラは現場から離れる代わりに手札に移す
batch-leave-remove-disguise-hooks	P03 変装で置換される側(デッキ下へ退く元キャラ)の反応 hook	2	2	pure-additive	M		B03052,B03052P	TRIGGERED_HOOKS に『disguise:replaced』(被置換側)hook 無。leave:to-deck の payload に退場キャラ uid/cardId source 無。handleLeaveToRemoveSelf に相当する『退場元キャラ def の被置換 ability 走査』handler 無。CardDef ability trigger.hook に被置換 enum 無。	src/engine/flow/contact.ts:192-216 disguise()。L192 mutate.deck.toBottom で元キャラをデッキ下へ→L199-213 disguise:into emit は source={uid:targetUid(=新cardId), ...} で『変装後のキャラ』のみ card-triggerable(triggered.ts:82 disguise:into)。L215 leave:to-deck emit は payload={cardId:fromCardId} のみで uid/source 無、かつ leave:to-deck は TRIGGERED_HOOKS(triggered.ts:57-105) に未登録(grep一致0)=どのカードも反応不能。退場した元キャラ(fromCardId)の def を virtual-location で走査して『被置換 hook』を発火する handler が無い。	自分の現場のキャラが、相手(または自分)の【変装】によって入れ替えられデッキの下へ退くとき、その『退く側のキャラ』が反応する。B03052 シャロン・ヴィンヤード:『〚カード名［ベルモット］〛が【変装】によってこのキャラと入れ替わったとき、キャラを1枚まで選び、スリープさせる。』 = ベルモットの変装でシャロンが場を退かされる『被置換』側の反応。現 engine の disguise:into hook は『変装で出てきた新キャラ』側専用で、退いた元キャラには発火しない。	［ベルモット］が【変装】によってこのキャラと入れ替わったとき、キャラを1枚まで選び、スリープさせる
