num	kind	verdict	gates	title
B01006	character	ENGINE0	ENGINE0	灰原哀
B01006P	character	ENGINE0	ENGINE0	灰原哀
B01022	event	ENGINE0	ENGINE0	少年探偵団
B01035	character	ENGINE0	ENGINE0	大滝悟郎
B01045	character	ENGINE0	ENGINE0	中森青子
B01047	character	ENGINE0	ENGINE0	黒羽快斗
B01047P	character	ENGINE0	ENGINE0	黒羽快斗
B01051	character	ENGINE0	ENGINE0	京極真
B01054	character	ENGINE0	ENGINE0	寺井黄之助
B01054P	character	ENGINE0	ENGINE0	寺井黄之助
B01070	character	ENGINE0	ENGINE0	アンドレ・キャメル
B02006	character	ENGINE0	ENGINE0	仮面ヤイバー
B02006P	character	ENGINE0	ENGINE0	仮面ヤイバー
B02022	character	ENGINE0	ENGINE0	鬼丸猛
B02022P	character	ENGINE0	ENGINE0	鬼丸猛
B02049	character	ENGINE0	ENGINE0	中森青子
B02057	character	ENGINE0	ENGINE0	沖矢昴
B02057P	character	ENGINE0	ENGINE0	沖矢昴
B02076	character	ENGINE0	ENGINE0	大和敢助
B02076P	character	ENGINE0	ENGINE0	大和敢助
B02086	character	ENGINE0	ENGINE0	ベルモット
B02086P	character	ENGINE0	ENGINE0	ベルモット
B02087	character	ENGINE0	ENGINE0	キール
B02087P	character	ENGINE0	ENGINE0	キール
B03002	character	ENGINE0	ENGINE0	江戸川コナン
B03002P	character	ENGINE0	ENGINE0	江戸川コナン
B03024	event	ENGINE0	ENGINE0	「新一!!!」
B03024P	event	ENGINE0	ENGINE0	「新一!!!」
B03028	character	ENGINE0	ENGINE0	服部平次
B03028P	character	ENGINE0	ENGINE0	服部平次
B03029	character	ENGINE0	ENGINE0	遠山和葉
B03029P	character	ENGINE0	ENGINE0	遠山和葉
B03030	character	ENGINE0	NEW:untargetable continuous「選ばれない」	伊織無我
B03030P	character	ENGINE0	NEW:untargetable continuous「選ばれない」	伊織無我
B03040	character	ENGINE0	ENGINE0	和田進一
B03041	event	ENGINE0	ENGINE0	直球勝負
B03041P	event	ENGINE0	ENGINE0	直球勝負
B03042	event	ENGINE0	ENGINE0	「ボクは好きだな… 君みたいな熱い探偵…」
B03047	character	ENGINE0	ENGINE0	京極真
B03047P	character	ENGINE0	ENGINE0	京極真
B03050	character	ENGINE0	ENGINE0	怪盗キッド
B03062	event	ENGINE0	ENGINE0	私はもう貴方のそばに…
B03062P	event	ENGINE0	ENGINE0	私はもう貴方のそばに…
B03063	event	ENGINE0	ENGINE0	死闘
B03066	character	ENGINE0	ENGINE0	赤井秀一
B03066P	character	ENGINE0	ENGINE0	赤井秀一
B03070	character	ENGINE0	ENGINE0	メアリー
B03070P	character	ENGINE0	ENGINE0	メアリー
B03078	character	ENGINE0	ENGINE0	宮野明美
B03078P	character	ENGINE0	ENGINE0	宮野明美
B03080	event	ENGINE0	ENGINE0	BANG
B03080P	event	ENGINE0	ENGINE0	BANG
B03085	character	ENGINE0	ENGINE0	諸伏景光
B03085P	character	ENGINE0	ENGINE0	諸伏景光
B03088P	character	ENGINE0	ENGINE0	松田陣平
B03093	character	ENGINE0	NEW:untargetable continuous「選ばれない」	西村京兵
B03098	character	ENGINE0	ENGINE0	諸伏高明
B03098P	character	ENGINE0	ENGINE0	諸伏高明
B03110	character	ENGINE0	ENGINE0	ジン
B03110P	character	ENGINE0	ENGINE0	ジン
B03111	character	ENGINE0	ENGINE0	バーボン
B03111P	character	ENGINE0	ENGINE0	バーボン
B03112	character	ENGINE0	ENGINE0	ライ
B03112P	character	ENGINE0	ENGINE0	ライ
B03118	character	ENGINE0	ENGINE0	キール
B03133	event	ENGINE0	ENGINE0	「見ィーつけた♪」
B03134	event	ENGINE0	ENGINE0	ジンの眼光
B04027	event	ENGINE0	ENGINE0	「後ろの女に一言遺したろ思てなァ…」
B04027P	event	ENGINE0	ENGINE0	「後ろの女に一言遺したろ思てなァ…」
B04032	character	ENGINE0	ENGINE0	白馬探
B04032P	character	ENGINE0	ENGINE0	白馬探
B04042	event	ENGINE0	ENGINE0	「よォ名探偵…」
B04042P	event	ENGINE0	ENGINE0	「よォ名探偵…」
B04055	character	ENGINE0	G17	アマンダ・ヒューズ
B04074	character	ENGINE0	G16	降谷零
B04074P	character	ENGINE0	G16	降谷零
B04085	event	ENGINE0	ENGINE0	「わかってくれますよね…」
B04085P	event	ENGINE0	ENGINE0	「わかってくれますよね…」
B04089	character	ENGINE0	ENGINE0	ベルモット
B04089P	character	ENGINE0	ENGINE0	ベルモット
B04091	character	ENGINE0	ENGINE0	ウォッカ
B04091P	character	ENGINE0	ENGINE0	ウォッカ
B04092	character	ENGINE0	ENGINE0	キャンティ
B04093	character	ENGINE0	ENGINE0	コルン
B04094	character	ENGINE0	ENGINE0	ジン
B04094P	character	ENGINE0	ENGINE0	ジン
B05008	character	ENGINE0	NEW:相手効果による untargetable	灰原哀
B05008P	character	ENGINE0	NEW:相手効果による untargetable	灰原哀
B05009	character	ENGINE0	ENGINE0	毛利蘭
B05009P	character	ENGINE0	ENGINE0	毛利蘭
B05022	event	ENGINE0	ENGINE0	「オレがついてる!!」
B05023	event	ENGINE0	ENGINE0	「探偵の毛利小五郎でございます…」
B05023P	event	ENGINE0	ENGINE0	「探偵の毛利小五郎でございます…」
B05027	character	ENGINE0	ENGINE0	服部平次＆遠山和葉
B05027P	character	ENGINE0	ENGINE0	服部平次＆遠山和葉
B05032	character	ENGINE0	ENGINE0	大滝悟郎
B05047	character	ENGINE0	ENGINE0	怪盗キッド
B05048	character	ENGINE0	NEW:相手効果による untargetable	黒羽快斗
B05052	character	ENGINE0	ENGINE0	工藤優作
B05063	case	ENGINE0	ENGINE0	園子のアブない夏物語
B05063P	case	ENGINE0	ENGINE0	園子のアブない夏物語
B05072	character	ENGINE0	ENGINE0	沖矢昴
B05075	character	ENGINE0	ENGINE0	勝又力
B05086	character	ENGINE0	ENGINE0	安室透＆降谷零
B05092	character	ENGINE0	ENGINE0	諸伏景光
B05093	character	ENGINE0	ENGINE0	榎本梓
B05093P	character	ENGINE0	ENGINE0	榎本梓
B05107	character	ENGINE0	ENGINE0	ウォッカ
B05107P	character	ENGINE0	ENGINE0	ウォッカ
B05111	character	ENGINE0	ENGINE0	ゾンビ
B06004	character	ENGINE0	ENGINE0	工藤新一
B06004P	character	ENGINE0	ENGINE0	工藤新一
B06018	character	ENGINE0	ENGINE0	鬼丸猛
B06018P	character	ENGINE0	ENGINE0	鬼丸猛
B06021	character	ENGINE0	ENGINE0	石川五右衛門
B06021P	character	ENGINE0	ENGINE0	石川五右衛門
B06025	character	ENGINE0	ENGINE0	ケロ介
B06026	character	ENGINE0	ENGINE0	コウモリ男（バットマン）
B06027	character	ENGINE0	ENGINE0	カマキリ男＆ナマコ男＆ヒトデ男
B06028	character	ENGINE0	ENGINE0	風魔の小太郎
B06028P	character	ENGINE0	ENGINE0	風魔の小太郎
B06032	character	ENGINE0	ENGINE0	弁慶
B06032P	character	ENGINE0	ENGINE0	弁慶
B06043	case	ENGINE0	ENGINE0	恋と推理の剣道大会
B06043P	case	ENGINE0	ENGINE0	恋と推理の剣道大会
B06062	event	ENGINE0	ENGINE0	かみなり斬り
B06062P	event	ENGINE0	ENGINE0	かみなり斬り
B06065	case	ENGINE0	ENGINE0	伝説の玉探し
B06068	character	ENGINE0	ENGINE0	京極真
B06068P	character	ENGINE0	ENGINE0	京極真
B06077	character	ENGINE0	ENGINE0	ジョディ・スターリング
B06077P	character	ENGINE0	ENGINE0	ジョディ・スターリング
B06082	event	ENGINE0	ENGINE0	「説得するよりこの方が早い…」
B06082P	event	ENGINE0	ENGINE0	「説得するよりこの方が早い…」
B06086	character	ENGINE0	ENGINE0	萩原研二
B06086P	character	ENGINE0	ENGINE0	萩原研二
B06090	character	ENGINE0	ENGINE0	榎本梓
B06090P	character	ENGINE0	ENGINE0	榎本梓
B07013	event	ENGINE0	ENGINE0	「今時、予告状を送りつける、レトロな泥棒さんの面をな…」
B07022	character	ENGINE0	G17	沖田総司
B07036	character	ENGINE0	ENGINE0	中森青子
B07036P	character	ENGINE0	ENGINE0	中森青子
B07047P	character	ENGINE0	ENGINE0	中森銀三
B07054	event	ENGINE0	ENGINE0	「アイスクリームは……甘いんだぜ!!」
B07054P	event	ENGINE0	ENGINE0	「アイスクリームは……甘いんだぜ!!」
B07063	character	ENGINE0	ENGINE0	鈴木園子
B07063P	character	ENGINE0	ENGINE0	鈴木園子
B07065	character	ENGINE0	ENGINE0	世良真純＆メアリー
B07065P	character	ENGINE0	ENGINE0	世良真純＆メアリー
B07068	character	ENGINE0	ENGINE0	羽田秀𠮷
B07068P	character	ENGINE0	ENGINE0	羽田秀𠮷
B07099	character	ENGINE0	ENGINE0	板倉卓
B07100	character	ENGINE0	ENGINE0	コルン
B07102	character	ENGINE0	ENGINE0	犯人
B08008	character	ENGINE0	ENGINE0	吉田歩美
B08038	character	ENGINE0	ENGINE0	京極真
B08038P	character	ENGINE0	ENGINE0	京極真
B08043	event	ENGINE0	G16	手のこんだ悪巧み
B08043P	event	ENGINE0	G16	手のこんだ悪巧み
B08057	character	ENGINE0	ENGINE0	宮野エレーナ
B08064	character	ENGINE0	ENGINE0	白鳥任三郎
B08072	character	ENGINE0	G15	佐藤美和子
B08073	character	ENGINE0	G15	高木渉
B08076	case	ENGINE0	ENGINE0	揺れる警視庁 1200万人の人質
B08076P	case	ENGINE0	ENGINE0	揺れる警視庁 1200万人の人質
B08082	character	ENGINE0	ENGINE0	ピスコ
B08092P	event	ENGINE0	ENGINE0	出来損ないの名探偵
B09022	character	ENGINE0	ENGINE0	遠山和葉
B09022P	character	ENGINE0	ENGINE0	遠山和葉
B09024	character	ENGINE0	ENGINE0	服部平蔵
B09027	character	ENGINE0	ENGINE0	大岡紅葉
B09027P	character	ENGINE0	ENGINE0	大岡紅葉
B09033	event	ENGINE0	ENGINE0	「ひょっとしたら…」
B09033P	event	ENGINE0	ENGINE0	「ひょっとしたら…」
B09056	character	ENGINE0	ENGINE0	赤井秀一
B09056P	character	ENGINE0	ENGINE0	赤井秀一
B09061	character	ENGINE0	ENGINE0	ジェイムズ・ブラック
B09067	event	ENGINE0	ENGINE0	「よしキャメル…走れ!!」
B09067P	event	ENGINE0	ENGINE0	「よしキャメル…走れ!!」
B09078	character	ENGINE0	ENGINE0	榎本梓
B09081	character	ENGINE0	ENGINE0	知苑大哉
B09096	character	ENGINE0	G15	キャンティ
B09096P	character	ENGINE0	G15	キャンティ
B09113	case	ENGINE0	ENGINE0	「愛しい愛しい…宿敵さん？」
B09113P	case	ENGINE0	ENGINE0	「愛しい愛しい…宿敵さん？」
D06003	character	ENGINE0	ENGINE0	服部平次
D06004	character	ENGINE0	ENGINE0	服部平次
D06009	character	ENGINE0	ENGINE0	大滝悟郎
D06013	character	ENGINE0	G17	白馬探
D06021	character	ENGINE0	ENGINE0	服部平次
D06023	character	ENGINE0	ENGINE0	服部平次
D10009	character	ENGINE0	ENGINE0	工藤新一
D10010	character	ENGINE0	ENGINE0	工藤新一
D10022	character	ENGINE0	ENGINE0	毛利蘭
D10024	event	ENGINE0	ENGINE0	シャッフルロマンス
PR027	character	ENGINE0	ENGINE0	白馬探
PR028	character	ENGINE0	ENGINE0	ジョディ・スターリング
PR031	character	ENGINE0	ENGINE0	白馬探
PR032	character	ENGINE0	ENGINE0	ジョディ・スターリング
PR039	character	ENGINE0	ENGINE0	中森青子
PR132	character	ENGINE0	G17	諸伏景光
PR133	character	ENGINE0	ENGINE0	大和敢助
PR179	character	ENGINE0	ENGINE0	京極真
PR185	character	ENGINE0	ENGINE0	京極真
PR200	character	ENGINE0	ENGINE0	大滝悟郎
PR201	character	ENGINE0	G17	鈴木次郎吉
PR206	character	ENGINE0	ENGINE0	大滝悟郎
PR207	character	ENGINE0	G17	鈴木次郎吉
PR213	character	ENGINE0	G17	諸伏景光
PR234	character	ENGINE0	ENGINE0	毛利蘭
PR240	character	ENGINE0	ENGINE0	毛利蘭
B01005	character	NEEDS-ENGINE	NEW:ネクストヒント使用カードのレベル参照filter	江戸川コナン
B01005P	character	NEEDS-ENGINE	NEW:ネクストヒント使用カードのレベル参照filter	江戸川コナン
B01009	character	NEEDS-ENGINE	G20	工藤新一
B01009P	character	NEEDS-ENGINE	G20	工藤新一
B01012	character	NEEDS-ENGINE	G34	阿笠博士
B01020	character	NEEDS-ENGINE	NEW:アクション対象不可aura	毛利小五郎
B01023	event	NEEDS-ENGINE	NEW:イベント自己セット継続rider付与	シャッフルロマンス
B01023P	event	NEEDS-ENGINE	NEW:イベント自己セット継続rider付与	シャッフルロマンス
B01039	event	NEEDS-ENGINE	NEW:離場を代わりに残す置換	「かっ…和葉ァ!!!」
B01057	event	NEEDS-ENGINE	NEW:イベント自己セット継続rider付与	「最も出会いたくない…恋人ってトコロかな？」
B01057P	event	NEEDS-ENGINE	NEW:イベント自己セット継続rider付与	「最も出会いたくない…恋人ってトコロかな？」
B01058	event	NEEDS-ENGINE	NEW:遅延armed-trigger	トッ
B01077	event	NEEDS-ENGINE	G27	「赤井…秀一!?」
B01081	character	NEEDS-ENGINE	NEW:対象選択後デッキ上下choice	安室透
B01081P	character	NEEDS-ENGINE	NEW:対象選択後デッキ上下choice	安室透
B01082	character	NEEDS-ENGINE	NEW:オートフェイズ非アクティブ化付与	榎本梓
B01084	character	NEEDS-ENGINE	NEW:捜査の発見カード参照/条件	降谷零
B01084P	character	NEEDS-ENGINE	NEW:捜査の発見カード参照/条件	降谷零
B01085	character	NEEDS-ENGINE	NEW:捜査の発見カード参照/条件	安室透
B01092	character	NEEDS-ENGINE	NEW:離場を代わりに手札へ置換	松田陣平
B01092P	character	NEEDS-ENGINE	NEW:離場を代わりに手札へ置換	松田陣平
B01093	character	NEEDS-ENGINE	NEW:対象選択後デッキ上下choice	目暮十三
B01095	event	NEEDS-ENGINE	NEW:捜査の発見カード参照/条件	「僕の日本から…」
B02002	character	NEEDS-ENGINE	G19	江戸川コナン
B02013	event	NEEDS-ENGINE	NEW:イベント自己セット継続rider付与	ターボエンジン付きスケートボード
B02013P	event	NEEDS-ENGINE	NEW:イベント自己セット継続rider付与	ターボエンジン付きスケートボード
B02018	character	NEEDS-ENGINE	G08	服部平次
B02018P	character	NEEDS-ENGINE	G08	服部平次
B02031	event	NEEDS-ENGINE	NEW:イベント自己セット継続rider付与	平次のバイク
B02031P	event	NEEDS-ENGINE	NEW:イベント自己セット継続rider付与	平次のバイク
